,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
85,Chocolate-Hazelnut-Paleo-Pancakes-1699100,1200.0,12,4,900.0,2100
86,4-Simple-Breakfasts-with-Berries_-Yogurt_-and-Donuts-1695469,,5,4,,600
87,Breakfast-Burrito-Bowls-1693941,,11,12,,1500
88,Bacon-Stuffed-French-Toast-Waffles-1679873,,7,4,,1200
89,Roti-Canai_Paratha-_Indian-Pancake_-1657307,900.0,7,8,600.0,12300
90,Vegan-Buckwheat-Pancakes-1703060,1800.0,9,4,600.0,2400
91,Polenta-Sour-Cream-Goat-Cheese-Breakfast-1682532,,6,4,,900
92,Frittata-Lyonnaise-1705620,1500.0,12,4,300.0,1800
93,Skinny-PB-_-J-French-Toast-Sticks-1697179,,8,4,,1500
94,MEDITERRANEAN-OMELETTE-1637108,,8,4,,1500
95,3-Ingredient-Egg-Breakfast-Skillet-1540181,,7,4,,1200
96,Cinnamon-Quinoa-Breakfast-Bowl-1647351,1200.0,12,2,300.0,1500
97,Easy-Make-Ahead-Breakfast-Casserole-1697804,,13,12,30900.0,33600
98,Quick-_-Easy-Vanilla-Almond-Granola-1626392,,6,8,,2100
99,Mini-Frittatas-1697267,,8,4,,2400
100,Apple-Cinnamon-Overnight-Oatmeal-1701420,300.0,5,1,300.0,600
101,Old-Fashion-French-Toast-1687789,600.0,12,4,600.0,1200
102,Vegan-Banana-Hazelnut-Pancakes-1602350,900.0,9,4,900.0,1800
103,Apple-Cinnamon-Syrup-1597843,,11,2,,1800
104,Simple-Vegan-Oatmeal-1688633,600.0,5,4,,1200
105,Hash-Brown-Breakfast-Cups-1048703,,7,4,,2700
106,Fiber-Starter-Breakfast-Bowl-1551342,,6,1,300.0,300
107,Sweet-Grated-Veggie-Breakfast-Hash-with-Raisins-1689588,,10,3,,2100
108,Egg-and-Potato-Casserole-1704459,,11,6,900.0,900
109,Banana-Chocolate-Chip-Baked-Oatmeal-1309608,2280.0,9,7,600.0,2880
110,Homemade-Breakfast-Sausage-1696498,,10,4,,2700
111,Ham_-Egg-and-Cheese-Breakfast-Cupcakes-1222942,,6,12,,1800
112,Whole-Wheat-Sour-Dough-Pancakes-1603729,,8,4,,1200
113,Basic-Tofu-Scramble-1689532,1200.0,11,3,600.0,1800
114,Deconstructed-Bacon-Egg-Breakfast-Sandwich-1706649,,9,2,,2700
115,Spelt-Breakfast-1706599,,10,4,,1500
116,Five-Ingredient-Blender-Pancakes-1380961,900.0,5,4,300.0,1200
117,EXTRA-FLUFFY-BLUEBERRY-ALMOND-PANCAKES-970663,900.0,12,2,600.0,1500
118,Vanilla-Cinnamon-French-Toast-995973,,12,7,,1500
119,BLUEBERRY-YOGURT-PANCAKES-1687573,600.0,7,3,300.0,900
120,PUMPKIN-SPICE-PANCAKES-1690394,,9,4,,2700
121,Mocha-Overnight-Oatmeal-1282683,,6,2,300.0,300
122,Banana-Breakfast-Sushi-_paleo_-GF_-1614174,,6,1,300.0,300
123,Overnight-Cinnamon-Spiced-Steel-Cut-Oats-1557533,,8,4,,1500
124,Apple-Pancakes-1103486,480.0,9,4,300.0,780
125,Spicy-Chickpea-Scramble-1611328,,12,4,,1800
126,Thanksgiving-breakfast-hash-with-cheddar-mashed-potato-pancakes-333614,,7,4,,1200
127,Cinnamon-Orange-Vanilla-Grilled-French-Toast-1686635,900.0,30,5,900.0,1800
128,Same-Day-Mock-Liege-Waffles-1686968,,7,1,,3900
129,Blueberry-Zoat-Breakfast-Bars-1689993,,5,12,,1800
130,Simple-Hemp-Seed-Porridge-_vegan_-grain-free_-gluten-free_-1684394,300.0,8,1,300.0,600
131,Pesto-Prosciutto-Dutch-Baby-1697393,1200.0,10,2,1500.0,2700
132,Wild-Rice-Veggie-Egg-Bake-_Gluten-Free_-1700180,2400.0,7,4,600.0,3000
133,BANANA-OATMEAL-PANCAKES-1631508,,12,4,,1500
134,Chocolate-Pomegranate-Overnight-Oats-1696762,,8,4,,600
135,Lemon-Ricotta-Pancakes-1623843,1800.0,11,4,300.0,2100
136,Healthy-Protein-Pancake-1711215,,7,2,,1200
137,Triple-Berry-Baked-Oatmeal-1687884,,9,4,,2100
138,Tropical-Smoothie-Berry-Breakfast-Pizza-1710446,,14,6,600.0,600
139,Fluffernutter-and-Jelly-Stuffed-French-Toast-1706743,1500.0,13,5,600.0,2100
140,Rainbow-Pepper-_-Feta-Quiche-1704101,,8,4,,2700
141,Starbucks-Inspired-Oatmeal-1201429,,7,4,,900
142,Baked-Blueberry-Buttermilk-Pancakes-1685897,,5,4,,2700
143,Banana-Pancakes-1629361,600.0,5,4,120.0,720
144,Sausage-and-Eggs-to-Go-998776,,4,6,,2100
145,3-Ingredient-Protein-Powder-Pancakes-1563205,600.0,3,4,300.0,900
146,Double-Sweet-Cherry-Vanilla-Jam-1697901,,6,4,,2700
147,Easy-Granola-1021130,,6,4,,1500
148,Creamy-Instant-Oatmeal-Topped-with-Bananas-and-Pecans-1599515,,7,4,,1200
149,Crazy-Easy-Banana-Pancakes-1004455,,6,2,,1500
150,Sir-Bananas-French-Toast-Bake-1557280,1800.0,11,8,900.0,2700
151,Blueberry-French-Toast-1641556,,6,4,,1800
152,Broccoli-cheddar-and-sausage-egg-muffin-pull-a-parts-334980,,9,6,,3000
153,Zucchini-Pancakes-Grain-free-1001104,,6,3,,1500
154,Tropical-Summer-Coconut-Oatmeal-1705651,900.0,8,2,300.0,1200
155,Bistro-Breakfast-1522799,1200.0,8,3,480.0,1680
156,Brown-sugar-glazed-bacon-308530,,4,5,,1800
157,Breakfast-Fruit-Salad-1077251,,5,1,300.0,300
158,IHOP-pancake-629692,,8,4,,1500
159,Crock-Pot-Bacon-and-Sausage-Breakfast-Casserole-1710585,,15,4,1200.0,26400
160,Easy-Vegan-Breakfast-Tacos-1693234,900.0,15,2,900.0,1800
161,Tempeh-Benedict-with-Vegan-Hollandaise-Sauce-1703064,900.0,18,4,600.0,1500
162,Dark-Chocolate-Cranberry-Baked-Oatmeal-1563333,,7,4,,3900
163,Ham-and-Cheese-Waffles-1706765,600.0,14,4,600.0,1800
164,Gluten-Free-Dutch-Baby-with-Blueberry-Maple-Syrup-1702716,1200.0,11,4,600.0,1800
165,Ham-and-Egg-Cupcakes-for-Breakfast-979905,1500.0,5,12,300.0,1800
166,BROCCOLI-QUICHE-1218721,,7,6,,3300
167,Jillian-Michaels-Spinach-Frittata-with-Potatoes_-Peppers_-and-Feta-1704195,,11,4,,1800
168,Zucchini-Pancakes-1683302,,11,10,,1800
169,Apple-pancakes-307171,,10,4,,2100
170,Crispy-Fried-Eggs-1708417,,4,1,,900
171,Italian-Breakfast-Toast-1632330,,4,5,,1800
172,Red-velvet-pancakes-333836,,10,4,,2100
173,Spicy-Summer-Grits-1633361,1500.0,11,4,300.0,1800
174,Ham-and-Cheese-Potato-Pancakes-1568472,,12,6,,1500
175,Bananas-Foster-Waffles-1698556,,14,4,,1800
176,Buckwheat-Porridge-With-Bananas-1635241,,5,1,,2100
177,French-Toast-Bites-484866,,5,4,,1800
178,Peaches-and-Cream-Baked-French-Toast-1686573,,14,7,,5400
179,Paleo-Sausage-Egg-McMuffin-477146,,7,4,,1800
180,Homemade-Hash-Browns-with-Spinach-and-Carrot-1120175,0.0,7,4,0.0,2100
181,Green-Veggie-Frittata-1697495,0.0,10,8,0.0,1800
182,Hemp-Seed-Porridge-1684396,,5,4,,1500
183,Egg-Muffins-1113649,,7,6,,2400
184,Peanut-Butter-Cup-Overnight-Oats-1038240,,6,6,,900
185,Raspberry-Skillet-Pancake-1018232,2700.0,6,4,900.0,3600
186,Peanut-Butter-and-Chocolate-Steel-Cut-Oatmeal-1622751,,7,4,600.0,2400
187,21-Day-Fix-Spinach-Pesto-Frittata-1269076,900.0,7,4,300.0,1200
188,Grain-Free-Buttermilk-Pancakes-1680220,,6,4,,1800
189,Swedish-Pancakes-1094763,,5,4,,1800
190,Bacon_-Egg_-And-Cheese-Breakfast-Casserole-1490559,,7,6,,4500
191,Maple-Vanilla-Overnight-Oats_-1567318,,8,2,300.0,300
192,Chocolate-Banana-Waffles-1711149,,18,4,,1800
193,Hot-Pumpkin-Quinoa-Breakfast-1680510,120.0,6,1,60.0,180
194,Blueberry-Pancakes-611509,,10,6,,3000
195,Mango-_-Young-Dried-Coconut-Granola-Breakfast-Parfaits-_Vegan_-1706590,1800.0,18,5,1800.0,10800
196,Baked-Western-Omelet-1203701,2700.0,9,9,900.0,3600
197,Breakfast-polenta-308885,,7,4,,2400
198,Turmeric-Persimmon-Porridge-1696030,1200.0,9,2,600.0,1800
199,Cream-Cheese-_-Jam-Muffins-1706430,,19,12,1200.0,3600
200,Cantaloupe-Breakfast-Bowls-1624395,,5,2,420.0,420
201,Eggy-in-a-Basket-1011527,240.0,6,2,300.0,540
202,Mango-Overnight-Oats-1622358,0.0,14,1,0.0,1500
203,Coconut-milk-breakfast-quinoa-333578,,7,2,,1500
204,Healthy-Peaches-and-Cream-Pancakes-1708451,,16,6,,2400
205,Cottage-cheese-and-fruit-casserole-without-flour_-_Diet-foods_-1689418,,10,4,,3300
206,2-Minute-Omelette-in-a-Mug-977874,,7,4,,900
207,Oatmeal-almond-pancakes-334089,,5,4,,1200
208,Raspberry-Overnight-Oatmeal-with-Chia-Seeds-and-Acai-1459890,10800.0,10,1,600.0,11400
209,Quick-_-Easy-Sweet-Potato-Rosti-in-your-waffle-maker-1623402,,6,4,,1200
210,Fluffy-Pancakes-1588299,,7,4,,1200
211,Baked-Eggs-in-Whole-Roasted-Tomatoes-1007867,,6,6,,3000
212,Another-Gluten-Free-Pancake-1690464,,7,6,,1800
213,French-Toast-with-Vegan-Nog-964692,,7,4,,1800
214,Plus_-Non-Toxic-Waffle-Iron-Solutions-_-Real-Food-Waffle-Topping-Ideas_-1698125,,9,4,,1200
215,Cheesy-Chive-Scrambled-Eggs-1601874,,7,2,,1500
216,Oatmeal-Raisin-Overnight-Oats-1514861,,7,4,,1500
217,Recipes-1026148,1800.0,4,4,600.0,2400
218,Best-Ever-Homemade-Waffles-1632212,,8,15,,1800
219,Super-Easy-European-Style-Potato-Pancakes-1561455,600.0,10,2,900.0,1500
220,3-Ingredient-Bacon-Asparagus-Frittata-1602561,2400.0,3,4,1800.0,4200
221,Tomato-Basil-Egg-Scramble-1252682,300.0,5,2,600.0,900
222,French-Toast-1601367,,7,1,,1500
223,Pancake-1057627,,8,8,,1200
224,Delicious-_-Easy-Chilled-Breakfast-Idea-1200426,,6,1,,900
225,Smashed-Avocado-Poached-Egg-Toast-1703782,300.0,12,2,600.0,900
226,Protein-Packed-Breakfast-623277,,6,4,,1800
227,Caprese-baked-egg-cups-333349,,8,4,,1800
228,Very-Lush-Omelet-_-1617619,,4,4,,2700
229,Pumpkin-Oatmeal-1623528,,6,2,,900
230,Korean-Style-Potato-_-Scallion-Pancakes-1708712,,8,6,,2100
231,Cinnamon-French-Toast-Fingers-with-Greek-Yogurt-and-Blueberry-Sauce-1626342,300.0,12,2,600.0,900
232,Easy_-Breezy-Homemade-Pancakes-1642241,,7,4,,2100
233,BASIC-DUTCH-BABY-1618980,,5,3,,1800
234,Crispy-Skillet-Breakfast-Potatoes-1624842,2100.0,7,4,600.0,2700
235,Honey-Lemon-Coconut-Paleo-Pancakes-1580984,420.0,5,6,300.0,720
236,French-Toast-Roll-Ups-With-Cream-Cheese-and-Strawberries-1068173,300.0,5,4,900.0,1200
237,Overnight-Blackberry-Yeast-Waffles-with-Blackberry-Syrup-1707580,300.0,16,8,900.0,1200
238,Cinnamon-apple-spiced-oatmeal-352259,,4,1,,900
239,Easy-Frugal-Recipe-_-Strawberry-Freezer-Jam-with-Honey-1687172,300.0,4,4,900.0,1200
240,Father_s-Day-Breakfast-680826,,5,4,,2100
241,Fluffy-Pancakes-1272469,,6,6,,1800
242,Chia-Seed-Banana-Breakfast-Pudding-682779,,6,4,,10800
243,Grilled-French-Toast-1692821,,14,4,,2100
