,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
0,Coconut-Flour-Pancakes-1638026,360.0,7,4,1200.0,1560
1,Vegan-Coconut-Waffles-_for-Mama-_-Babe_-1702323,1200.0,20,4,300.0,1500
2,Whole-wheat-pancakes-_new-and-improved_-352121,,9,7,,1200
3,Blueberry-Oatmeal-Breakfast-Bars-1701314,1500.0,17,9,600.0,2100
4,JENNY_S-BETTER-THAN-BOXED-LOW-CARB-PANCAKES-1663506,,7,1,,900
5,Vanilla-Cinnamon-French-Toast-1057625,300.0,7,1,,600
6,Blueberry-Jam-1643229,1200.0,5,10,900.0,2100
7,Keto-Pancakes-Recipe-_with-cream-cheese__-1038440,,5,4,,900
8,Loaded-Puff-Pastry-Breakfast-Cups-1708345,,12,9,,4800
9,Biscuits-_-Gravy-Breakfast-Casserole-1700005,2400.0,8,7,600.0,3000
10,Breakfast-Casserole-1549257,,7,4,,2700
11,Broccoli_-ham_-and-mozzarella-baked-with-eggs-310089,,8,8,,3600
12,Quinoa-Breakfast-Bowl-1576732,,6,4,,1200
13,Egg-_-Nopalitos-Scramble--1683337,,9,4,,900
14,Courgette-Waffles-1567406,300.0,6,12,1200.0,1500
15,Scrambled-Egg-Whites-with-Steamed-Sweet-Potato-1690024,,6,1,300.0,960
16,The-Perfect-Omelet-1696481,300.0,8,1,180.0,480
17,Bacon-_-Sweet-Potato-Hash-1686840,600.0,7,4,300.0,900
18,Paleo-Chocolate-Breakfast-Bread-1521721,1200.0,9,4,600.0,1800
19,African-Pancakes-1618969,900.0,8,4,4200.0,5100
20,Omelet-in-Ziploc-Bag-1204780,,4,1,,900
21,Apple-Cinnamon-French-Toast-1624670,600.0,12,4,600.0,1200
22,Cottage-Cheese-Pancakes-1639931,300.0,8,8,300.0,600
23,Steak-and-Egg-Breakfast-Tacos-1687037,,8,4,,1500
24,Caramelized-Peach-Quinoa-Breakfast-Bowl-1684482,,9,2,,2100
25,Bacon-Banana-Pancakes-with-Buttery-Bourbon-Maple-Syrup-1701366,,13,6,,2700
26,Southern-sausage-gravy-308032,,6,8,,1200
27,Zoodles-and-Eggs-1685332,,7,4,,1200
28,Healthy-Chocolate-Pancakes-1476322,900.0,13,6,600.0,1500
29,Savory-Breakfast-Cookies-_low-carb_-1528409,600.0,9,12,600.0,1200
30,Brioche-French-Toast-1065036,,5,4,,900
31,Whole-30-California-Avocado-Sweet-Potato-Hash-1593576,600.0,8,2,300.0,900
32,Egg-McMuffin-Casserole-1631085,,7,4,,4500
33,Strawberries-_-Cream-Oatmeal-1640883,,5,4,,1200
34,Cream-Cheese-Stuffed-French-Toast-With-Blueberry-Sauce-1708325,,14,4,,4200
35,Perfect-Pancakes-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41350,,10,6,900.0,1800
36,Berry-No-Cook-Overnight-Oatmeal-1098051,,4,1,300.0,300
37,Basic-Crepes-1686240,,5,20,1800.0,1800
38,Terang-Bulan-Pancake-1702679,,9,4,,2400
39,Make-Ahead-Egg-Bake-1655783,47400.0,6,12,1200.0,48600
40,How-to-Scramble-Eggs-1569802,600.0,5,2,120.0,720
41,Easy-Overnight-Maple-_-Brown-Sugar-Oatmeal-1705064,180.0,8,4,300.0,480
42,Slow-Cooker-Blueberry-Almond-Oatmeal-1707707,14400.0,10,2,300.0,14700
43,Chocolate-Chip-Pancakes-511341,1200.0,8,10,900.0,2100
44,Simple-Fluffy-Sour-Cream-Pancakes-1091293,1200.0,10,4,900.0,2100
45,Snickerdoodle-Pancakes-1641010,,10,4,300.0,300
46,Bacon-_-Kale-Baked-Eggs-1710699,1200.0,10,1,600.0,1800
47,Cheesecake-Stuffed-French-Toast-Sliders-1691299,600.0,10,4,900.0,1500
48,Cheesy-Baked-Egg-in-Toast-1242287,,7,4,,1500
49,Eggnog-french-toast-352366,,7,2,,1200
50,Breakfast-Sticks-1096708,,6,8,,2100
51,Strawberry-Stuffed-French-Toast-1613317,,6,4,,1500
52,Overnight-Sausage_-Egg-_-Hash-Brown-Breakfast-Casserole-1701196,,10,4,,6300
53,_Double-Stuf-OREO-Pancakes_-1091311,,6,4,,1200
54,Camper_s-Breakfast-Hash-1597103,1200.0,9,8,600.0,1800
55,Mini-Yogurt-Pancakes-1633781,,6,4,,1800
56,Easy-Vegan-Waffles-1708492,,10,4,,1800
57,Make-Ahead-Fruit-_-Yogurt-Breakfast-Parfaits-475395,,5,1,,3300
58,Chia-Seed-Pancakes-1709190,900.0,9,4,600.0,1500
59,French-Toast-Roll-Ups-or-French-Toast-Pinwheels-1638580,720.0,12,7,900.0,1620
60,Egg-Fast-Recipe---Cinnamon-French-Toast-Puff-1698588,,8,2,,600
61,Blueberry-Breakfast-Bake-1699614,,13,6,2700.0,2700
62,Raspberry-Baked-Oatmeal-1698086,2100.0,10,5,600.0,2700
63,Eggs-In-Clouds-1557666,,4,4,,2100
64,Cinnamon-toast-french-toast-305359,,8,4,,3300
65,Perfect-hard-boiled-eggs-every-time-352315,,3,4,,2100
66,The-perfect-soft-boiled-egg-307984,,3,4,,1200
67,Oven-Baked-Bacon-1529932,,1,4,,1800
68,Basic-Crepe-1040345,1500.0,7,15,600.0,2100
69,Baked-Vegetable-Egg-Omelets-1711924,,9,4,,2100
70,Smoked-Salmon-Eggs-Benedict-with-Dill-Waffles-1560231,2400.0,15,4,2400.0,4800
71,Breakfast-Skillet-with-Diced-Red-Potatoes-1513835,,6,4,,1800
72,Breakfast-Casserole-1596514,,6,10,600.0,1500
73,Make-Over-Breakfast-Sausage-and-Mushroom-Strata-1707983,,12,4,,3900
74,Slow-Cooker-Creamy-Almond-Oatmeal-1636131,,6,4,,2400
75,Spanish-Style-Eggs-1634900,,13,4,,2400
76,Best-Ever-Breakfast-Potatoes-1537506,,8,4,,2400
77,Cottage-Cheese-Scrambled-Eggs-recipe-137-calories-781513,,5,2,,1500
78,Matcha-Pancakes-1202059,,9,1,,1500
79,Country-Breakfast-1533018,,7,4,,3000
80,Savory-Stuffed-French-Toast-1707520,900.0,11,4,900.0,1800
81,Oatmeal-Pancakes-1078436,,7,4,,1500
82,Easy-Homemade-Pancakes-1574840,900.0,7,6,600.0,1500
83,VANILLA-MAPLE-WAFFLE-1712440,600.0,15,3,300.0,900
84,Chocolate-Hazelnut-Paleo-Pancakes-1699100,1200.0,12,4,900.0,2100
85,4-Simple-Breakfasts-with-Berries_-Yogurt_-and-Donuts-1695469,,5,4,,600
86,Breakfast-Burrito-Bowls-1693941,,11,12,,1500
87,Bacon-Stuffed-French-Toast-Waffles-1679873,,7,4,,1200
88,Roti-Canai_Paratha-_Indian-Pancake_-1657307,900.0,7,8,600.0,12300
89,Vegan-Buckwheat-Pancakes-1703060,1800.0,9,4,600.0,2400
90,Polenta-Sour-Cream-Goat-Cheese-Breakfast-1682532,,6,4,,900
91,Frittata-Lyonnaise-1705620,1500.0,12,4,300.0,1800
92,Skinny-PB-_-J-French-Toast-Sticks-1697179,,8,4,,1500
93,MEDITERRANEAN-OMELETTE-1637108,,8,4,,1500
94,3-Ingredient-Egg-Breakfast-Skillet-1540181,,7,4,,1200
95,Cinnamon-Quinoa-Breakfast-Bowl-1647351,1200.0,12,2,300.0,1500
96,Easy-Make-Ahead-Breakfast-Casserole-1697804,,13,12,30900.0,33600
97,Quick-_-Easy-Vanilla-Almond-Granola-1626392,,6,8,,2100
98,Mini-Frittatas-1697267,,8,4,,2400
99,Apple-Cinnamon-Overnight-Oatmeal-1701420,300.0,5,1,300.0,600
100,Old-Fashion-French-Toast-1687789,600.0,12,4,600.0,1200
101,Vegan-Banana-Hazelnut-Pancakes-1602350,900.0,9,4,900.0,1800
102,Apple-Cinnamon-Syrup-1597843,,11,2,,1800
103,Simple-Vegan-Oatmeal-1688633,600.0,5,4,,1200
104,Hash-Brown-Breakfast-Cups-1048703,,7,4,,2700
105,Fiber-Starter-Breakfast-Bowl-1551342,,6,1,300.0,300
106,Sweet-Grated-Veggie-Breakfast-Hash-with-Raisins-1689588,,10,3,,2100
107,Egg-and-Potato-Casserole-1704459,,11,6,900.0,900
108,Banana-Chocolate-Chip-Baked-Oatmeal-1309608,2280.0,9,7,600.0,2880
109,Homemade-Breakfast-Sausage-1696498,,10,4,,2700
110,Ham_-Egg-and-Cheese-Breakfast-Cupcakes-1222942,,6,12,,1800
111,Whole-Wheat-Sour-Dough-Pancakes-1603729,,8,4,,1200
112,Basic-Tofu-Scramble-1689532,1200.0,11,3,600.0,1800
113,Deconstructed-Bacon-Egg-Breakfast-Sandwich-1706649,,9,2,,2700
114,Spelt-Breakfast-1706599,,10,4,,1500
115,Five-Ingredient-Blender-Pancakes-1380961,900.0,5,4,300.0,1200
116,EXTRA-FLUFFY-BLUEBERRY-ALMOND-PANCAKES-970663,900.0,12,2,600.0,1500
117,Vanilla-Cinnamon-French-Toast-995973,,12,7,,1500
118,BLUEBERRY-YOGURT-PANCAKES-1687573,600.0,7,3,300.0,900
119,PUMPKIN-SPICE-PANCAKES-1690394,,9,4,,2700
120,Mocha-Overnight-Oatmeal-1282683,,6,2,300.0,300
121,Banana-Breakfast-Sushi-_paleo_-GF_-1614174,,6,1,300.0,300
122,Overnight-Cinnamon-Spiced-Steel-Cut-Oats-1557533,,8,4,,1500
123,Apple-Pancakes-1103486,480.0,9,4,300.0,780
124,Spicy-Chickpea-Scramble-1611328,,12,4,,1800
125,Thanksgiving-breakfast-hash-with-cheddar-mashed-potato-pancakes-333614,,7,4,,1200
126,Cinnamon-Orange-Vanilla-Grilled-French-Toast-1686635,900.0,30,5,900.0,1800
127,Same-Day-Mock-Liege-Waffles-1686968,,7,1,,3900
128,Blueberry-Zoat-Breakfast-Bars-1689993,,5,12,,1800
